sample_name	gtdb_family
GCA_004347655.1	Bacteroidaceae
GCA_014845585.1	Bacteroidaceae
GCA_015256945.1	Bacteroidaceae
GCA_015259125.1	Bacteroidaceae
GCA_017413085.1	Bacteroidaceae
GCA_017616915.1	Bacteroidaceae
GCA_017627315.1	Bacteroidaceae
GCA_018264635.1	Bacteroidaceae
GCA_018375235.1	Bacteroidaceae
GCA_018383335.1	Bacteroidaceae
GCA_021202755.1	Bacteroidaceae
GCA_021443285.1	Bacteroidaceae
GCA_022486865.1	Bacteroidaceae
GCA_022766335.1	Bacteroidaceae
GCA_022785505.1	Bacteroidaceae
GCA_023667205.1	Bacteroidaceae
GCA_024789945.1	Bacteroidaceae
GCF_003439055.1	Bacteroidaceae
GCF_003457665.1	Bacteroidaceae
GCF_003458565.1	Bacteroidaceae
GCF_003459325.1	Bacteroidaceae
GCF_003475135.1	Bacteroidaceae
GCF_009019275.1	Bacteroidaceae
GCF_009495235.1	Bacteroidaceae
GCF_015548125.1	Bacteroidaceae
GCF_016899805.1	Bacteroidaceae
GCF_016899855.1	Bacteroidaceae
GCF_018789675.1	Bacteroidaceae
GCF_019130725.1	Bacteroidaceae
GCF_019249805.1	Bacteroidaceae
GCF_020091505.1	Bacteroidaceae
GCF_020560025.1	Bacteroidaceae
GCF_020560605.1	Bacteroidaceae
GCF_021406405.1	Bacteroidaceae
GCF_024733775.1	Bacteroidaceae
GCF_024759365.1	Bacteroidaceae
GCA_000063505.1	Cyanobiaceae
GCA_002151525.1	Cyanobiaceae
GCA_002169615.1	Cyanobiaceae
GCA_002702445.1	Cyanobiaceae
GCA_003331765.1	Cyanobiaceae
GCA_004213055.1	Cyanobiaceae
GCA_009837265.1	Cyanobiaceae
GCA_009842105.1	Cyanobiaceae
GCA_009842265.1	Cyanobiaceae
GCA_009843485.1	Cyanobiaceae
GCA_010021865.1	Cyanobiaceae
GCA_010029765.1	Cyanobiaceae
GCA_010030765.1	Cyanobiaceae
GCA_014279575.1	Cyanobiaceae
GCA_014381295.1	Cyanobiaceae
GCA_016778355.1	Cyanobiaceae
GCA_016882485.1	Cyanobiaceae
GCA_017644605.2	Cyanobiaceae
GCA_021737805.1	Cyanobiaceae
GCF_000015665.1	Cyanobiaceae
GCF_000153045.1	Cyanobiaceae
GCF_000760335.1	Cyanobiaceae
GCF_003208055.1	Cyanobiaceae
GCF_014279875.1	Cyanobiaceae
GCF_015840335.1	Cyanobiaceae
GCF_017695965.1	Cyanobiaceae
GCF_024345395.1	Cyanobiaceae
GCF_024345535.1	Cyanobiaceae
GCF_024345695.1	Cyanobiaceae
GCF_024345715.1	Cyanobiaceae
GCF_024345795.1	Cyanobiaceae
GCF_024346035.1	Cyanobiaceae
GCF_024346155.1	Cyanobiaceae
GCF_024346215.1	Cyanobiaceae
GCF_024346415.1	Cyanobiaceae
GCF_900474295.1	Cyanobiaceae
GCA_000984575.1	Enterobacteriaceae
GCA_001085225.1	Enterobacteriaceae
GCA_001132265.1	Enterobacteriaceae
GCF_000213475.1	Enterobacteriaceae
GCF_000406285.1	Enterobacteriaceae
GCF_000692875.1	Enterobacteriaceae
GCF_000779455.1	Enterobacteriaceae
GCF_000956745.1	Enterobacteriaceae
GCF_001219365.1	Enterobacteriaceae
GCF_001575515.1	Enterobacteriaceae
GCF_002039985.1	Enterobacteriaceae
GCF_002752155.1	Enterobacteriaceae
GCF_003666735.1	Enterobacteriaceae
GCF_003687835.1	Enterobacteriaceae
