#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-10B4084C2FDB0202-2D08B8282D167629
#datatype	hitsConcise Results
#status	0
#Start time	2025-02-01T21:13:50	Run time	0:00:09:08
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - AAN83245	specific	129629	8	459	0	833.283	TIGR00538	hemN	 - 	cl31012
Q#2 - WP_028069898	superfamily	237356	6	456	1.91472e-152	440.608	cl36235	PRK13347 superfamily	 - 	 - 
Q#3 - WP_006365438	specific	440400	45	440	4.56926e-147	425.75	COG0635	HemN	 - 	cl33986
Q#4 - WP_069810592	specific	440400	49	439	2.78336e-146	423.824	COG0635	HemN	 - 	cl33986
Q#5 - WP_026853902	superfamily	237356	7	456	7.5945e-163	467.187	cl36235	PRK13347 superfamily	 - 	 - 
Q#6 - WP_005034428	superfamily	237356	8	456	1.37875e-166	476.817	cl36235	PRK13347 superfamily	 - 	 - 
Q#7 - AMW06315	superfamily	237356	23	466	0	519.96	cl36235	PRK13347 superfamily	 - 	 - 
Q#8 - BAH40890	superfamily	237356	8	446	5.7407e-171	488.758	cl36235	PRK13347 superfamily	 - 	 - 
Q#9 - AFS53101	superfamily	237356	1	453	0	597.385	cl36235	PRK13347 superfamily	 - 	 - 
Q#10 - CUW40578	superfamily	237356	8	451	0	648.231	cl36235	PRK13347 superfamily	 - 	 - 
Q#11 - WP_010883524	superfamily	237356	14	449	9.54054e-160	459.483	cl36235	PRK13347 superfamily	 - 	 - 
Q#12 - WP_021756895	superfamily	237356	14	457	1.44065e-164	471.424	cl36235	PRK13347 superfamily	 - 	 - 
Q#13 - CAH07682	superfamily	237356	4	452	2.99385e-149	432.519	cl36235	PRK13347 superfamily	 - 	 - 
Q#14 - ACB73891	superfamily	237356	21	471	0	558.865	cl36235	PRK13347 superfamily	 - 	 - 
Q#15 - ACM93156	superfamily	129629	6	454	0	590.993	cl31012	hemN superfamily	 - 	 - 
Q#16 - KIN92132	superfamily	237356	5	463	0	596.614	cl36235	PRK13347 superfamily	 - 	 - 
Q#17 - CUI82205	superfamily	129629	6	457	0	805.549	cl31012	hemN superfamily	 - 	 - 
Q#18 - WP_025305675	superfamily	129629	5	456	0	659.943	cl31012	hemN superfamily	 - 	 - 
Q#19 - WP_012674071	superfamily	129629	8	462	0	688.448	cl31012	hemN superfamily	 - 	 - 
Q#20 - EHC13895	specific	237356	7	465	0	722.574	PRK13347	PRK13347	 - 	cl36235
Q#21 - WP_036489441	superfamily	129629	8	465	0	677.662	cl31012	hemN superfamily	 - 	 - 
Q#22 - AFZ05950	superfamily	129629	8	465	0	701.545	cl31012	hemN superfamily	 - 	 - 
Q#23 - P74132	specific	129629	8	466	0	846.38	TIGR00538	hemN	 - 	cl31012
Q#24 - AIU70349	specific	440400	24	369	1.92752e-74	237.002	COG0635	HemN	 - 	cl33986
Q#25 - WP_051366200	specific	440400	42	396	3.57666e-73	233.92	COG0635	HemN	 - 	cl33986
Q#26 - CDC62198	specific	440400	32	412	2.65962e-94	289.004	COG0635	HemN	 - 	cl33986
Q#27 - WP_020612921	specific	440400	38	415	1.57993e-80	253.565	COG0635	HemN	 - 	cl33986
Q#28 - EEF14474	superfamily	274985	2	396	1.37535e-69	225.556	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#29 - WP_013010134	specific	274985	27	446	0	635.793	TIGR04107	rSAM_HutW	 - 	cl37390
Q#30 - WP_009353669	superfamily	274985	28	444	1.10954e-171	493.269	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#30 - WP_009353669	specific	464580	468	547	2.34731e-05	45.0286	pfam15240	Pro-rich	N	cl26282
Q#31 - WP_051212161	superfamily	274985	29	452	1.66342e-172	494.81	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#32 - EKX99441	superfamily	274985	30	451	0	527.552	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#33 - WP_019177805	superfamily	274985	22	438	0	521.774	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#34 - WP_013506625(Warning: this sequence record may be obsolete or preliminary)	specific	274985	26	444	0	648.119	TIGR04107	rSAM_HutW	 - 	cl37390
Q#35 - EGW43871	specific	274985	40	458	0	564.146	TIGR04107	rSAM_HutW	 - 	cl37390
Q#36 - EIO71851	specific	274985	19	433	0	653.897	TIGR04107	rSAM_HutW	 - 	cl37390
Q#37 - WP_004344082(Warning: this sequence record may be obsolete or preliminary)	superfamily	274985	11	422	3.1898e-172	490.188	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#38 - WP_008619339	superfamily	274985	21	435	1.55327e-170	485.95	cl37390	rSAM_HutW superfamily	 - 	 - 
Q#39 - AIC83437	specific	274985	44	464	0	688.18	TIGR04107	rSAM_HutW	 - 	cl37390
Q#40 - ACG60749	specific	440400	12	369	5.89504e-93	285.537	COG0635	HemN	 - 	cl33986
Q#41 - ABL74954	specific	440400	1	368	1.50352e-96	294.782	COG0635	HemN	 - 	cl33986
Q#42 - AAG02372	specific	440400	1	393	2.99678e-89	275.907	COG0635	HemN	 - 	cl33986
Q#43 - EGG43722	specific	440400	41	428	1.12214e-90	280.914	COG0635	HemN	 - 	cl33986
Q#44 - ADR01089	specific	440400	1	399	2.45625e-82	258.188	COG0635	HemN	 - 	cl33986
Q#45 - AGY49586	specific	440400	3	368	2.33924e-95	290.544	COG0635	HemN	 - 	cl33986
Q#46 - ACS83765	specific	440400	1	388	7.19289e-95	290.159	COG0635	HemN	 - 	cl33986
Q#47 - YP_003651165(Warning: this sequence record may be obsolete or preliminary)	specific	440400	1	382	3.50083e-101	305.952	COG0635	HemN	 - 	cl33986
Q#48 - ACS83777	specific	440400	1	380	2.42455e-97	295.937	COG0635	HemN	 - 	cl33986
Q#49 - AGY49595	specific	440400	3	368	8.96269e-86	265.892	COG0635	HemN	 - 	cl33986
Q#50 - SEL93961	specific	440400	19	401	1.84891e-91	281.3	COG0635	HemN	 - 	cl33986
Q#51 - SDP98233	specific	440400	48	449	2.07712e-85	267.818	COG0635	HemN	 - 	cl33986
Q#52 - OGO33555	specific	440400	51	452	3.51537e-80	254.336	COG0635	HemN	 - 	cl33986
Q#53 - WP_067157183(Warning: this sequence record may be obsolete or preliminary)	specific	440400	44	440	2.36691e-85	267.818	COG0635	HemN	 - 	cl33986
Q#54 - BAO98806	specific	440400	44	451	2.17291e-82	260.114	COG0635	HemN	 - 	cl33986
Q#55 - SEF54573	specific	440400	44	450	6.71748e-80	253.565	COG0635	HemN	 - 	cl33986
Q#56 - WP_011291186	specific	181292	13	447	0	726.033	PRK08208	PRK08208	 - 	cl32274
Q#57 - GAD86125	specific	181292	8	445	0	712.936	PRK08208	PRK08208	 - 	cl32274
Q#58 - WP_026404953	specific	181292	10	440	0	712.165	PRK08208	PRK08208	 - 	cl32274
Q#59 - WP_030684647	specific	440400	25	415	2.79633e-123	364.503	COG0635	HemN	 - 	cl33986
Q#60 - WP_012324632	specific	440400	9	409	2.21472e-118	351.406	COG0635	HemN	 - 	cl33986
Q#61 - WP_051685090	specific	440400	41	441	9.25742e-113	337.924	COG0635	HemN	 - 	cl33986
